taxon	ADRB2	12S-rRNA	vWF	M121	M393	NEDD4	M161	M141	BRCA1	adra2B	ENAM	nd1	
Calyptophractus retusus		FR821713	FR821705						FR821709			FR821711	
Tolypeutes matacus		AJ505828	AJ427362						AF484227	AJ427370	GQ354880	AJ505837	
Choloepus didactylus	AY011253		AJ278160						AF484229		GQ354874	AJ505830	
Chaetophractus villosus	AY011255	U61080	FR821706						AF284000	AJ315935	GQ354881	AJ505835	
Choloepus hoffmanni	AY011252		JN415027		EF465768	EF465820	EF465833	EF465896	JN414134		GQ354875		
Dasypus novemcinctus			AJ278158	EF465559	AB258748	DQ198513	EF465822	EF465885	AF283999	AJ427366	GQ354879		
Dasypus kappleri			AJ427361	EF465560	EF465758	EF465810	EF465823	EF465886	AF484223	AJ427367		AJ505833	
Chaetophractus vellerosus				EF465565	EF465763	EF465815	EF465828	EF465891					
Chlamyphorus truncatus		FR821712	FR821704	EF465564	EF465762	EF465814	EF465826	EF465889	FR821708			FR821710	
Zaedyus pichiy		FR821714	AJ427365	EF465566	EF465764	EF465817	EF465829	EF465892	AF484226	AJ427369		AJ505836	
Cabassous unicinctus		AJ278151	AJ278159	EF465563	EF465760	EF465813	EF465827	EF465890	AF484228	AJ427371		AB011217	
Priodontes maximus		AJ505829	AJ427363	EF465562	EF465761	EF465812	EF465825	EF465888	AF484225	AJ427372		AJ505838	
Euphractus sexcinctus	AY011254	AJ505826	AJ427364	EF465567	EF465765	EF465816	EF465830	EF465893	AF484224	AJ427368	GQ354882	AJ505834	
